Epoch,Loss,Validation Loss,Accuracy,Validation Accuracy,config_id
1,0.2588268220424652,0.1060525029897689,0.9295666813850404,0.9692999720573424,config1
2,0.0764815285801887,0.0598271675407886,0.9784500002861024,0.980400025844574,config1
3,0.048938862979412,0.0500838235020637,0.986466646194458,0.9835000038146972,config1
4,0.0348890535533428,0.048494815826416,0.9904166460037231,0.9839000105857848,config1
5,0.0256713237613439,0.0418711677193641,0.993666648864746,0.986299991607666,config1
1,0.3686723709106445,0.1380060166120529,0.9040166735649108,0.9610999822616576,config2
2,0.1062652543187141,0.0829297676682472,0.9711166620254515,0.9753999710083008,config2
3,0.0666106715798378,0.0591179393231868,0.9821500182151794,0.9818999767303468,config2
4,0.0488058626651763,0.0526926144957542,0.9869999885559082,0.983299970626831,config2
5,0.0375351756811142,0.0486625991761684,0.989733338356018,0.9828000068664552,config2
6,0.0301573649048805,0.0456901490688324,0.9922166466712952,0.9843999743461608,config2
7,0.0229189582169055,0.0402703918516635,0.9944000244140624,0.9857000112533568,config2
8,0.0183937512338161,0.0406427197158336,0.9956666827201844,0.9860000014305116,config2
9,0.0140318386256694,0.0384909249842166,0.9971500039100648,0.9854000210762024,config2
10,0.0111138606444001,0.0398503728210926,0.9979833364486694,0.9857000112533568,config2
1,0.5128387212753296,0.1947253346443176,0.8744500279426575,0.9473999738693236,config3
2,0.1501116752624511,0.1093858852982521,0.9599000215530396,0.9700000286102296,config3
3,0.0957240983843803,0.0818173438310623,0.974133312702179,0.9763000011444092,config3
4,0.0697960704565048,0.0677322223782539,0.9812833070755004,0.9793999791145324,config3
5,0.0549775250256061,0.060115672647953,0.9856500029563904,0.9811999797821044,config3
6,0.0450161509215831,0.0576759688556194,0.9879500269889832,0.981599986553192,config3
7,0.0376991480588912,0.0503563024103641,0.9902999997138976,0.9829999804496764,config3
